type,Tau_PT_sum,Tau_PT_dif,Tau_PT_1,Tau_PT_2,Tau_Mass_sum,Tau_Mass_dif,Tau_Mass_1,Tau_Mass_2,Tau_Ener_sum,Tau_Ener_1,Tau_Ener_2,Tau_Eta_dif,Tau_Eta_1,Tau_Eta_2,Tau_Phi_dif,Tau_Phi_1,Tau_Phi_2,Miss_MET,Jet_PT_sum,Jet_PT_dif,Jet_PT_1,Jet_PT_2,Jet_Mass_sum,Jet_Mass_dif,Jet_Mass_1,Jet_Mass_2,Jet_Ener_sum,Jet_Ener_1,Jet_Ener_2,Jet_Eta_dif,Jet_Eta_1,Jet_Eta_2,Jet_Phi_dif,Jet_Phi_1,Jet_Phi_2
1,296.476,110.506,203.491,92.9849,10.7319,2.58708,6.6595,4.07242,779.627,649.481,130.147,0.962184,1.82815,0.865961,3.34236,2.55421,-0.788145,64.4773,290.328,70.2301,180.279,110.049,35.6664,-3.60213,16.0321,19.6343,1433.4,1025.38,408.02,4.40715,2.42352,-1.98363,-2.72574,-1.4301,1.29565
1,738.815,8.67627,373.746,365.069,20.6292,12.4906,16.5599,4.06929,1119.14,613.883,505.256,0.229386,1.07983,0.850445,2.98748,0.994781,-1.9927,110.611,240.604,27.3958,134,106.604,34.6597,5.65094,20.1553,14.5044,1317.28,1208.37,108.91,3.04721,2.88911,-0.158108,-5.23436,-2.89586,2.3385
1,326.315,138.132,232.223,94.0916,-7.62939e-06,0,-3.8147e-06,-3.8147e-06,520.223,256.697,263.526,-2.14468,-0.455164,1.68952,0.873619,2.38973,1.51611,223.733,410.888,224.188,317.538,93.3499,97.9417,62.7591,80.3504,17.5913,1327.27,699.347,627.925,-4.01242,-1.41918,2.59324,-0.484764,-1.34349,-0.858725
1,731.994,181.477,456.735,275.258,13.6871,13.6871,13.6871,3.8147e-06,1448.11,1120.72,327.393,-0.940166,-1.54631,-0.606147,2.90636,-0.219352,-3.12571,123.336,405.996,336.081,371.039,34.9571,37.8246,24.3937,31.1091,6.71545,953.047,595.533,357.514,-4.06487,-1.04925,3.01563,3.9967,2.79169,-1.20501
1,453.449,8.17134,230.81,222.639,9.48544,-2.97691,3.25427,6.23118,549.91,292.292,257.618,0.161613,0.714492,0.55288,-2.34191,-2.90889,-0.566978,192.045,182.789,14.224,98.5063,84.2823,30.2814,-1.29994,14.4907,15.7907,1159.7,797.068,362.634,4.91757,2.77996,-2.13761,-0.435138,1.88505,2.32019
1,176.043,20.5502,98.2967,77.7464,28.9225,1.00236,14.9624,13.96,197.423,99.6756,97.7472,0.614353,-0.071238,-0.685591,-0.670047,-0.705792,-0.0357457,229.982,590.695,63.4435,327.069,263.626,70.1067,-13.7952,28.1558,41.951,2054.45,1337.9,716.55,-3.74184,-2.08632,1.65552,-5.18605,-2.54961,2.63644
1,175.688,113.756,144.722,30.9661,18.12,18.12,18.12,-4.76837e-07,392.585,352.481,40.1048,0.786258,1.53679,0.750529,0.516346,-1.9394,-2.45574,37.1738,287.303,172.055,229.679,57.6243,35.1453,23.1962,29.1707,5.97456,1084.4,726.669,357.728,-4.3304,-1.81812,2.51228,-2.23014,0.859576,3.08971
1,194.701,104.79,149.746,44.9553,6.0303,3.8553,4.9428,1.0875,426.83,229.575,197.255,-1.16756,0.991153,2.15871,1.64399,2.2211,0.577109,154.233,254.431,161.666,208.048,46.382,22.1465,11.1422,16.6444,5.50218,1168.64,390.473,778.166,-4.75392,-1.24166,3.51226,-0.430721,-1.14536,-0.714641
1,244.568,49.7607,147.164,97.4037,4.95634,4.95634,4.95634,-1.90735e-06,309.448,170.646,138.802,-1.44892,-0.556824,0.892096,3.48215,2.3859,-1.09625,643.36,596.598,114.946,355.772,240.826,111.636,59.8861,85.7612,25.8751,2650.74,541.017,2109.72,3.82376,0.963724,-2.86004,0.937955,2.24826,1.3103
1,604.907,62.6984,333.803,271.104,13.7613,6.85987,10.3106,3.45073,1258.13,942.135,316,2.26544,1.69771,-0.567729,3.77336,0.925056,-2.84831,148.577,633.776,161.732,397.754,236.022,33.2492,-3.41997,14.9146,18.3346,2965.42,921.897,2043.52,-4.33169,-1.48343,2.84826,1.90204,-0.657696,-2.55973
1,448.825,127.89,288.357,160.468,5.71019,-0.605425,2.55238,3.15781,655.167,470.521,184.646,-0.529966,-1.07195,-0.541985,3.45735,2.77865,-0.678696,167.444,320.249,100.792,210.521,109.729,41.2013,18.05,29.6257,11.5757,2119.5,1896.95,222.552,-4.21988,-2.88835,1.33153,2.0783,0.52938,-1.54892
1,125.337,33.9223,79.6295,45.7072,0.990276,-0.990276,0,0.990276,182.284,100.783,81.5009,1.89512,0.713666,-1.18146,-0.789405,-2.60009,-1.81068,463.652,590.771,79.6908,335.231,255.54,74.4489,58.9149,66.6819,7.76698,2543.76,505.015,2038.75,-3.72229,-0.956388,2.7659,-0.334788,0.48707,0.821858
1,445.662,299.407,372.535,73.1272,6.98404,6.77644,6.88024,0.103801,575.438,391.075,184.364,1.26229,-0.31369,-1.57598,3.02335,2.22626,-0.797088,209.577,554.62,154.732,354.676,199.944,80.1016,65.5697,72.8357,7.26594,3347.85,510.229,2837.62,4.23552,0.89094,-3.34458,-0.347963,-1.54937,-1.20141
