type,Tau_PT_sum,Tau_PT_dif,Tau_PT_1,Tau_PT_2,Tau_Mass_sum,Tau_Mass_dif,Tau_Mass_1,Tau_Mass_2,Tau_Ener_sum,Tau_Ener_1,Tau_Ener_2,Tau_Eta_dif,Tau_Eta_1,Tau_Eta_2,Tau_Phi_dif,Tau_Phi_1,Tau_Phi_2,Miss_MET,Jet_PT_sum,Jet_PT_dif,Jet_PT_1,Jet_PT_2,Jet_Mass_sum,Jet_Mass_dif,Jet_Mass_1,Jet_Mass_2,Jet_Ener_sum,Jet_Ener_1,Jet_Ener_2,Jet_Eta_dif,Jet_Eta_1,Jet_Eta_2,Jet_Phi_dif,Jet_Phi_1,Jet_Phi_2
1,1242.15,476.885,859.518,382.633,16.1894,-3.88085,6.15429,10.0351,2057.04,1079.08,977.962,0.890469,-0.700339,-1.59081,-3.31827,-0.236196,3.08208,157.16,455.263,114.227,284.745,170.518,82.1025,57.5037,69.8031,12.2994,1755.19,786.39,968.802,4.09269,1.67024,-2.42245,1.55308,2.97724,1.42416
1,445.538,228.942,337.24,108.298,0.95722,-0.95722,0,0.95722,1137.32,777.501,359.814,0.3927,-1.47769,-1.87039,-4.84453,-2.09774,2.74679,238.241,363.699,36.5597,200.129,163.57,67.4946,24.859,46.1768,21.3178,1465.39,623.747,841.644,4.12159,1.80024,-2.32136,0.394902,0.50067,0.105767
1,181.313,68.5191,124.916,56.3972,4.77087,3.52317,4.14702,0.62385,277.817,211.456,66.3607,-1.70364,-1.11773,0.585915,4.07291,3.07623,-0.996671,223.678,276.953,83.3641,180.159,96.7945,19.4232,11.1492,15.2862,4.13698,1030.37,228.228,802.14,-3.51566,-0.711498,2.80417,0.701852,0.441889,-0.259964
1,590.51,157.957,374.233,216.277,28.5868,7.63235,18.1096,10.4772,1176.55,754.733,421.818,-2.61369,-1.32624,1.28745,3.02385,2.82554,-0.198307,174.202,399.147,61.3806,230.264,168.883,29.4963,7.86547,18.6809,10.8154,1630.05,735.422,894.631,4.17981,1.82856,-2.35124,1.13443,0.036388,-1.09804
1,633.995,125.82,379.908,254.087,11.644,-4.2504,3.69679,7.94719,1458.19,1086.49,371.695,-0.783725,-1.71185,-0.928125,2.52914,0.120216,-2.40892,202.648,373.553,139.535,256.544,117.009,56.3785,-12.7457,21.8164,34.5621,2044.57,1547.14,497.434,-4.6067,-2.48296,2.12374,2.39735,2.4278,0.030448
1,346.639,218.957,282.798,63.8413,12.1394,9.06714,10.6033,1.53612,564.544,489.949,74.5947,1.7184,1.14625,-0.572152,2.10356,1.81488,-0.288681,271.01,838.409,292.549,565.479,272.93,84.042,48.7481,66.3951,17.6469,2992.36,2089.94,902.419,3.84613,1.98101,-1.86512,-2.10954,-2.88717,-0.777635
1,590.51,157.957,374.233,216.277,28.5868,7.63235,18.1096,10.4772,1176.55,754.733,421.818,-2.61369,-1.32624,1.28745,3.02385,2.82554,-0.198307,174.202,399.147,61.3806,230.264,168.883,29.4963,7.86547,18.6809,10.8154,1630.05,735.422,894.631,4.17981,1.82856,-2.35124,1.13443,0.036388,-1.09804
1,440.779,370.168,405.473,35.3055,22.9586,17.7092,20.3339,2.6247,1217.44,1179.26,38.184,2.12447,1.72962,-0.39485,-3.50157,-1.61774,1.88383,139.438,543.347,431.495,487.421,55.9257,89.6398,73.3884,81.5141,8.1257,1527.3,744.045,783.256,-4.309,-0.977744,3.33125,1.26057,1.43443,0.173857
1,948.88,80.4229,514.651,434.228,21.5534,4.5955,13.0744,8.47895,1195.47,541.53,653.938,-0.646777,0.320861,0.967638,2.43678,-0.400891,-2.83767,91.576,269.331,32.5002,150.916,118.416,35.5498,-2.74255,16.4036,19.1462,1357.75,842.494,515.255,4.55391,2.40448,-2.14943,-0.565806,1.73261,2.29842
1,382.153,188.567,285.36,96.7933,7.13342,3.84966,5.49154,1.64188,469.927,360.994,108.933,-1.20819,-0.712697,0.495498,3.83879,3.10839,-0.730406,174.557,482.255,55.4843,268.87,213.385,86.0695,-7.32125,39.3741,46.6954,2702.7,988.631,1714.07,-4.74779,-1.97539,2.7724,1.99832,1.68631,-0.312003
1,255.373,30.172,142.773,112.601,6.56878,-6.56878,0,6.56878,903.544,585.497,318.047,0.390795,2.08915,1.69835,-2.02164,-1.03405,0.987587,217.052,365.943,108.324,237.134,128.809,84.0551,7.09085,45.573,38.4821,1979.29,918.33,1060.96,-4.82607,-2.0287,2.79737,2.0722,3.05341,0.98121
1,509.579,197.69,353.635,155.944,1.80097,0.142227,0.971598,0.829371,664.182,503.479,160.702,1.13717,0.890821,-0.246345,-3.01944,-1.53392,1.48552,62.6455,318.492,147.94,233.216,85.2762,28.2997,5.79342,17.0466,11.2531,1398.49,1151.97,246.52,-4.00212,-2.27989,1.72223,-1.66848,1.37607,3.04454
1,168.198,122.246,145.222,22.976,5.52707,2.18115,3.85411,1.67296,483.456,413.045,70.4105,-0.0790405,1.70595,1.78499,-4.0681,-1.15379,2.91431,225,328.688,149.356,239.022,89.6659,23.9894,6.99394,15.4917,8.49771,1354.58,734.452,620.128,-4.4095,-1.78789,2.62162,1.12658,2.11809,0.991509
1,582.015,266.038,424.026,157.988,12.5845,10.6747,11.6296,0.954919,813.391,575.456,237.934,1.78929,0.821508,-0.967781,-4.19386,-1.10366,3.0902,298.39,779.402,696.664,738.033,41.3689,85.8205,74.7565,80.2885,5.532,1432.42,869.393,563.022,-3.88251,-0.579975,3.30254,2.41347,1.48498,-0.928493
1,441.917,332.476,387.196,54.7204,6.70618,4.44464,5.57541,1.13077,525.412,459.416,65.9958,1.23267,0.601518,-0.631152,-2.64155,-1.55043,1.09113,155.151,553.243,136.393,344.818,208.425,131.818,38.8305,85.3243,46.4939,2110.17,1710.46,399.706,-3.54318,-2.28306,1.26012,0.960337,1.61307,0.652735
1,170.451,55.6782,113.064,57.3863,4.19769,4.19769,4.19769,-1.3487e-06,318.771,235.109,83.6615,0.437721,1.36146,0.923743,3.57763,2.9524,-0.625231,526.543,487.821,335.637,411.729,76.0919,66.3023,46.6058,56.4541,9.84823,1977.16,1082.58,894.58,-4.7758,-1.62011,3.15569,0.334678,2.32901,1.99433
1,366.602,254.079,310.34,56.2614,1.02606,1.02607,1.02607,-1.16801e-06,1610.2,1549.63,60.5732,-1.90202,-2.29107,-0.389048,-1.40678,-1.88916,-0.482378,44.8305,232.548,109.847,171.198,61.3502,41.2219,27.5642,34.393,6.82884,1018.42,406.861,611.563,4.49729,1.50732,-2.98998,0.888416,1.96919,1.08077
1,646.65,338.281,492.466,154.185,9.76296,2.22419,5.99358,3.76938,1015.85,609.622,406.227,-0.947024,0.676706,1.62373,1.84412,0.938038,-0.906078,313.165,729.232,306.921,518.076,211.155,82.7242,43.8601,63.2921,19.4321,3570.92,1405.86,2165.05,-4.67284,-1.65452,3.01833,-5.40603,-2.74707,2.65896
1,535.306,252.371,393.839,141.468,8.26518,0.877982,4.57158,3.6936,1144.67,771.67,372.997,0.331375,-1.29315,-1.62452,2.80823,2.64258,-0.165647,71.1631,604.202,154.709,379.456,224.746,95.9278,69.9205,82.9242,13.0037,3896.58,1064.53,2832.05,4.91339,1.68804,-3.22534,2.45567,-0.2326,-2.68827
1,452.324,161.476,306.9,145.424,-4.26496e-06,4.26496e-06,0,-4.26496e-06,1234.81,1057.07,177.742,2.56303,1.90811,-0.654916,1.45972,-0.0888194,-1.54854,611.796,907.993,699.441,803.717,104.276,69.0388,55.5709,62.3049,6.73397,3212.93,1924.65,1288.28,4.72458,1.51906,-3.20551,0.537667,2.53499,1.99733
1,369.871,12.4776,191.174,178.697,32.8261,-14.6368,9.09467,23.7314,1366.05,910.007,456.041,3.82991,2.24214,-1.58776,-3.56028,-1.17512,2.38516,200.889,392.057,22.9634,207.51,184.547,35.8418,4.71611,20.279,15.5628,1347.88,568.407,779.476,-3.78434,-1.665,2.11934,-0.758524,-1.23631,-0.477787
1,346.639,218.957,282.798,63.8413,12.1394,9.06714,10.6033,1.53612,564.544,489.949,74.5947,1.7184,1.14625,-0.572152,2.10356,1.81488,-0.288681,271.01,838.409,292.549,565.479,272.93,84.042,48.7481,66.3951,17.6469,2992.36,2089.94,902.419,3.84613,1.98101,-1.86512,-2.10954,-2.88717,-0.777635
